omega,A,ignite
5.707070707070707183e-01,1.510101010101010166e+00,0.000000000000000000e+00
5.808080808080807733e-01,1.510101010101010166e+00,0.000000000000000000e+00
5.909090909090909394e-01,1.510101010101010166e+00,0.000000000000000000e+00
6.010101010101009944e-01,1.510101010101010166e+00,0.000000000000000000e+00
6.111111111111111605e-01,1.510101010101010166e+00,0.000000000000000000e+00
6.212121212121212155e-01,1.510101010101010166e+00,0.000000000000000000e+00
6.313131313131312705e-01,1.510101010101010166e+00,0.000000000000000000e+00
6.414141414141414366e-01,1.510101010101010166e+00,0.000000000000000000e+00
6.515151515151514916e-01,1.510101010101010166e+00,0.000000000000000000e+00
6.616161616161616577e-01,1.510101010101010166e+00,0.000000000000000000e+00
6.717171717171717127e-01,1.510101010101010166e+00,0.000000000000000000e+00
6.818181818181818787e-01,1.510101010101010166e+00,0.000000000000000000e+00
6.919191919191919338e-01,1.510101010101010166e+00,0.000000000000000000e+00
7.020202020202019888e-01,1.510101010101010166e+00,0.000000000000000000e+00
7.121212121212121549e-01,1.510101010101010166e+00,0.000000000000000000e+00
7.222222222222222099e-01,1.510101010101010166e+00,0.000000000000000000e+00
7.323232323232323759e-01,1.510101010101010166e+00,0.000000000000000000e+00
7.424242424242424310e-01,1.510101010101010166e+00,0.000000000000000000e+00
7.525252525252525970e-01,1.510101010101010166e+00,0.000000000000000000e+00
7.626262626262626521e-01,1.510101010101010166e+00,0.000000000000000000e+00
7.727272727272727071e-01,1.510101010101010166e+00,0.000000000000000000e+00
7.828282828282828731e-01,1.510101010101010166e+00,0.000000000000000000e+00
7.929292929292929282e-01,1.510101010101010166e+00,0.000000000000000000e+00
8.030303030303029832e-01,1.510101010101010166e+00,0.000000000000000000e+00
8.131313131313131493e-01,1.510101010101010166e+00,0.000000000000000000e+00
8.232323232323233153e-01,1.510101010101010166e+00,0.000000000000000000e+00
8.333333333333333703e-01,1.510101010101010166e+00,0.000000000000000000e+00
