Step,TrueNoise,ResidualNoise,ReductionRatio
302,-0.129798,-0.300958,-131.87
303,-0.122082,-0.312316,-155.83
304,-0.114635,-0.321367,-180.34
305,-0.107163,-0.327809,-205.90
306,-0.099808,-0.331819,-232.46
307,-0.092433,-0.333275,-260.56
308,-0.085261,-0.332495,-289.98
309,-0.078040,-0.329278,-321.94
310,-0.070844,-0.323817,-357.09
311,-0.063709,-0.316284,-396.45
312,-0.056539,-0.306727,-442.50
313,-0.049371,-0.295300,-498.13
314,-0.042189,-0.282183,-568.86
315,-0.035045,-0.267579,-663.52
316,-0.027815,-0.251544,-804.35
317,-0.020539,-0.234322,-1040.89
318,-0.013106,-0.215993,-1548.11
319,-0.005646,-0.196890,-3387.18
320,0.001984,-0.177050,-8825.82
321,0.009666,-0.156804,-1522.29
322,0.017402,-0.136315,-683.33
323,0.025153,-0.115811,-360.43
324,0.033034,-0.095336,-188.60
325,0.041008,-0.075092,-83.11
326,0.049090,-0.055222,-12.49
327,0.057198,-0.035971,37.11
328,0.065353,-0.017406,73.37
329,0.073520,0.000335,99.54
330,0.081708,0.017151,79.01
331,0.089799,0.032846,63.42
332,0.097832,0.047416,51.53
333,0.105794,0.060787,42.54
334,0.113742,0.072990,35.83
335,0.121445,0.083773,31.02
336,0.129029,0.093285,27.70
337,0.136306,0.101360,25.64
338,0.143347,0.108145,24.56
339,0.150114,0.113650,24.29
340,0.156536,0.117857,24.71
341,0.162605,0.120881,25.66
342,0.168093,0.122565,27.08
343,0.173161,0.123199,28.85
344,0.177728,0.122832,30.89
345,0.181837,0.121630,33.11
346,0.185429,0.119709,35.44
347,0.188425,0.117102,37.85
348,0.190706,0.113852,40.30
349,0.192361,0.110199,42.71
350,0.193301,0.106164,45.08
351,0.193545,0.101969,47.31
352,0.193007,0.097612,49.43
353,0.191772,0.093364,51.32
354,0.308957,0.208446,32.53
355,0.368526,0.266958,27.56
356,0.409996,0.308513,24.75
357,0.442504,0.342340,22.64
358,0.468894,0.371371,20.80
359,0.490706,0.316209,35.56
360,0.508751,0.278870,45.19
361,0.523644,0.260793,50.20
362,0.535572,0.248858,53.53
363,0.544965,0.241891,55.61
364,0.551978,0.237813,56.92
365,0.556779,0.237635,57.32
366,0.559628,0.238664,57.35
367,0.560534,0.242099,56.81
368,0.559665,0.247176,55.83
369,0.557038,0.254759,54.27
370,0.552837,0.264525,52.15
371,0.547017,0.275029,49.72
372,0.539848,0.287452,46.75
373,0.531203,0.302825,42.99
374,0.521290,0.318986,38.81
375,0.510191,0.336566,34.03
376,0.497858,0.357005,28.29
377,0.484310,0.378698,21.81
378,0.469760,0.402598,14.30
379,0.454377,0.430394,5.28
380,0.437954,0.462685,-5.65
381,0.420666,0.502181,-19.38
382,0.402538,0.558706,-38.80
383,0.383574,0.668529,-74.29
384,0.363762,0.661851,-81.95
385,0.343224,0.652773,-90.19
386,0.321895,0.641134,-99.17
387,0.299710,0.626708,-109.10
388,0.276642,0.609413,-120.29
389,0.252763,0.589204,-133.11
390,0.227733,0.565703,-148.41
391,0.201575,0.538864,-167.33
392,0.174119,0.508464,-192.02
393,0.144850,0.474028,-227.25
394,0.113226,0.435006,-284.19
395,0.078404,0.390601,-398.19
396,0.038879,0.339380,-772.91
397,-0.009051,0.277705,-2968.24
398,-0.078232,0.192763,-146.40
399,-0.167775,0.085613,48.97
400,-0.167689,0.066369,60.42
401,-0.166965,0.046168,72.35
402,-0.165741,0.025080,84.87
403,-0.163949,0.003301,97.99
404,-0.161533,-0.018931,88.28
405,-0.158693,-0.041557,73.81
406,-0.155374,-0.064357,58.58
407,-0.151741,-0.087258,42.50
408,-0.147626,-0.109858,25.58
409,-0.143153,-0.132075,7.74
410,-0.138274,-0.153612,-11.09
411,-0.133069,-0.174396,-31.06
412,-0.127634,-0.194241,-52.19
413,-0.121982,-0.212937,-74.56
