Step,TrueNoise,ResidualNoise,ReductionRatio
377,0.487337,0.381092,21.80
378,0.472822,0.406099,14.11
379,0.457420,0.433137,5.31
380,0.441039,0.465346,-5.51
381,0.423767,0.505404,-19.26
382,0.405644,0.560679,-38.22
383,0.386684,0.671369,-73.62
384,0.366903,0.664655,-81.15
385,0.346488,0.655634,-89.22
386,0.325241,0.643981,-98.00
387,0.303293,0.629760,-107.64
388,0.280410,0.612587,-118.46
389,0.256720,0.592521,-130.80
390,0.231987,0.569277,-145.39
391,0.206007,0.542538,-163.36
392,0.178674,0.512266,-186.70
393,0.149733,0.478125,-219.32
394,0.118667,0.439666,-270.50
395,0.084599,0.395969,-368.05
396,0.046158,0.345770,-649.09
397,0.000164,0.285971,-173948.86
398,-0.062780,0.207291,-230.19
399,-0.167905,0.084558,49.64
400,-0.167955,0.065181,61.19
401,-0.167325,0.044858,73.19
402,-0.166056,0.023757,85.69
403,-0.164274,0.001973,98.80
404,-0.161913,-0.020230,87.51
405,-0.159024,-0.042780,73.10
406,-0.155797,-0.065584,57.90
407,-0.152134,-0.088347,41.93
408,-0.147958,-0.110805,25.11
409,-0.143487,-0.132895,7.38
410,-0.138681,-0.154355,-11.30
411,-0.133538,-0.174994,-31.04
412,-0.128083,-0.194666,-51.98
413,-0.122365,-0.213131,-74.18
414,-0.116478,-0.230251,-97.68
415,-0.110487,-0.245947,-122.60
416,-0.104378,-0.260049,-149.14
417,-0.098121,-0.272369,-177.58
418,-0.091768,-0.282704,-208.06
419,-0.085358,-0.291059,-240.99
420,-0.078919,-0.297287,-276.70
421,-0.072379,-0.301277,-316.25
422,-0.065858,-0.303011,-360.10
423,-0.059408,-0.302486,-409.17
424,-0.052849,-0.299486,-466.69
425,-0.046333,-0.294133,-534.82
426,-0.039926,-0.286513,-617.62
427,-0.033548,-0.276555,-724.35
428,-0.027189,-0.264314,-872.13
429,-0.021037,-0.250032,-1088.51
430,-0.014802,-0.233588,-1478.11
431,-0.008628,-0.215135,-2393.39
432,-0.002567,-0.194817,-7490.47
433,0.003385,-0.172837,-5005.23
434,0.009379,-0.149246,-1491.30
