Step,R,Suppression,X0,X1
301,0.379626,0.684117,-1.173766,-1.173766
302,0.373378,0.688405,-1.168907,-1.168907
303,0.367068,0.692763,-1.163936,-1.163936
304,0.360699,0.697189,-1.158854,-1.158854
305,0.354273,0.701683,-1.153658,-1.153658
306,0.347796,0.706243,-1.148348,-1.148348
307,0.341269,0.710867,-1.142923,-1.142923
308,0.334698,0.715554,-1.137381,-1.137381
309,0.328086,0.720301,-1.131721,-1.131721
310,0.321436,0.725107,-1.125942,-1.125942
311,0.314752,0.729970,-1.120043,-1.120043
312,0.308039,0.734886,-1.114023,-1.114023
313,0.301302,0.739855,-1.107881,-1.107881
314,0.294543,0.744872,-1.101615,-1.101615
315,0.287768,0.749936,-1.095225,-1.095225
316,0.280981,0.755043,-1.088709,-1.088709
317,0.274186,0.760190,-1.082067,-1.082067
318,0.267389,0.765375,-1.075297,-1.075297
319,0.260594,0.770594,-1.068399,-1.068399
320,0.253805,0.775843,-1.061372,-1.061372
321,0.247028,0.781119,-1.054215,-1.054215
322,0.240267,0.786418,-1.046927,-1.046927
323,0.233528,0.791735,-1.039507,-1.039507
324,0.226815,0.797068,-1.031955,-1.031955
325,0.220134,0.802411,-1.024270,-1.024270
326,0.213489,0.807761,-1.016451,-1.016451
327,0.206885,0.813113,-1.008498,-1.008498
328,0.200328,0.818462,-1.000411,-1.000411
329,0.193823,0.823803,-0.992188,-0.992188
330,0.187375,0.829133,-0.983831,-0.983831
331,0.180988,0.834446,-0.975338,-0.975338
332,0.174667,0.839736,-0.966709,-0.966709
333,0.168419,0.845000,-0.957944,-0.957944
334,0.162246,0.850232,-0.949044,-0.949044
335,0.156155,0.855427,-0.940008,-0.940008
336,0.150149,0.860580,-0.930836,-0.930836
337,0.144234,0.865686,-0.921529,-0.921529
338,0.138413,0.870739,-0.912088,-0.912088
339,0.132691,0.875736,-0.902512,-0.902512
340,0.127072,0.880670,-0.892802,-0.892802
341,0.121560,0.885538,-0.882958,-0.882958
342,0.116159,0.890334,-0.872982,-0.872982
343,0.110872,0.895053,-0.862875,-0.862875
344,0.105703,0.899692,-0.852637,-0.852637
345,0.100654,0.904245,-0.842269,-0.842269
346,0.095730,0.908709,-0.831773,-0.831773
347,0.090932,0.913080,-0.821149,-0.821149
348,0.086263,0.917353,-0.810399,-0.810399
349,0.081725,0.921525,-0.799525,-0.799525
350,0.077321,0.925593,-0.788527,-0.788527
351,0.073051,0.929553,-0.777408,-0.777408
352,0.068917,0.933404,-0.766169,-0.766169
353,0.064921,0.937141,-0.754813,-0.754813
354,0.061063,0.940764,-0.743340,-0.743340
355,0.057344,0.944269,-0.731752,-0.731752
356,0.053763,0.947656,-0.720053,-0.720053
357,0.050322,0.950923,-0.708243,-0.708243
358,0.047019,0.954069,-0.696325,-0.696325
359,0.043855,0.957093,-0.684301,-0.684301
360,0.040828,0.959994,-0.672174,-0.672174
361,0.037937,0.962774,-0.659945,-0.659945
362,0.035181,0.965431,-0.647617,-0.647617
363,0.032558,0.967967,-0.635193,-0.635193
364,0.030066,0.970382,-0.622675,-0.622675
365,0.027703,0.972677,-0.610064,-0.610064
366,0.025468,0.974854,-0.597365,-0.597365
367,0.023356,0.976915,-0.584579,-0.584579
368,0.021366,0.978860,-0.571708,-0.571708
369,0.019495,0.980694,-0.558756,-0.558756
370,0.017739,0.982418,-0.545725,-0.545725
371,0.016095,0.984034,-0.532617,-0.532617
