Step,R,Suppression,EnergyDensity
394,0.004198,0.995811,0.000559
395,0.003779,0.996228,0.000482
396,0.003391,0.996615,0.000414
397,0.003032,0.996973,0.000353
398,0.002701,0.997302,0.000300
399,0.002397,0.997606,0.000254
400,0.002118,0.997884,0.000214
401,0.001864,0.998138,0.000179
402,0.001633,0.998369,0.000149
403,0.001423,0.998578,0.000123
404,0.001233,0.998768,0.000101
405,0.001063,0.998938,0.000082
406,0.000910,0.999090,0.000067
407,0.000774,0.999226,0.000054
408,0.000654,0.999346,0.000043
409,0.000548,0.999452,0.000034
410,0.000455,0.999545,0.000026
411,0.000375,0.999625,0.000020
412,0.000305,0.999695,0.000016
413,0.000246,0.999754,0.000012
414,0.000195,0.999805,0.000009
415,0.000153,0.999847,0.000006
416,0.000118,0.999882,0.000005
417,0.000089,0.999911,0.000003
418,0.000066,0.999934,0.000002
419,0.000048,0.999952,0.000002
420,0.000034,0.999966,0.000001
421,0.000023,0.999977,0.000001
422,0.000015,0.999985,0.000000
423,0.000009,0.999991,0.000000
424,0.000005,0.999995,0.000000
425,0.000003,0.999997,0.000000
426,0.000001,0.999999,0.000000
427,0.000001,0.999999,0.000000
428,0.000000,1.000000,0.000000
429,0.000000,1.000000,0.000000
430,0.000000,1.000000,0.000000
431,0.000000,1.000000,0.000000
432,0.000000,1.000000,0.000000
433,0.000000,1.000000,0.000000
434,0.000000,1.000000,0.000000
435,0.000001,0.999999,0.000000
436,0.000002,0.999998,0.000000
437,0.000004,0.999996,0.000000
438,0.000007,0.999993,0.000000
439,0.000012,0.999988,0.000000
440,0.000018,0.999982,0.000001
441,0.000028,0.999972,0.000001
442,0.000040,0.999960,0.000001
443,0.000056,0.999944,0.000002
444,0.000077,0.999923,0.000003
445,0.000103,0.999897,0.000004
446,0.000135,0.999865,0.000005
447,0.000173,0.999827,0.000008
448,0.000219,0.999781,0.000010
449,0.000274,0.999726,0.000014
450,0.000339,0.999661,0.000018
451,0.000414,0.999586,0.000023
452,0.000500,0.999500,0.000030
453,0.000600,0.999401,0.000038
454,0.000713,0.999288,0.000048
455,0.000841,0.999160,0.000060
456,0.000985,0.999016,0.000074
457,0.001146,0.998854,0.000091
458,0.001326,0.998675,0.000112
459,0.001526,0.998475,0.000136
460,0.001747,0.998255,0.000164
461,0.001990,0.998012,0.000196
462,0.002257,0.997746,0.000234
463,0.002549,0.997455,0.000277
464,0.002866,0.997138,0.000326
465,0.003212,0.996793,0.000383
466,0.003586,0.996420,0.000447
467,0.003990,0.996018,0.000520
468,0.004426,0.995584,0.000602
469,0.004894,0.995118,0.000694
470,0.005396,0.994619,0.000798
471,0.005933,0.994085,0.000913
472,0.006506,0.993515,0.001040
473,0.007117,0.992908,0.001182
474,0.007767,0.992263,0.001338
475,0.008456,0.991580,0.001511
476,0.009186,0.990856,0.001700
477,0.009958,0.990092,0.001907
478,0.010772,0.989285,0.002133
479,0.011631,0.988437,0.002380
480,0.012534,0.987545,0.002648
481,0.013482,0.986608,0.002938
482,0.014477,0.985627,0.003251
483,0.015519,0.984601,0.003591
484,0.016608,0.983529,0.003955
485,0.017746,0.982411,0.004347
486,0.018932,0.981246,0.004767
487,0.020168,0.980034,0.005215
488,0.021453,0.978776,0.005694
489,0.022788,0.977470,0.006204
490,0.024173,0.976117,0.006747
491,0.025608,0.974717,0.007323
492,0.027094,0.973269,0.007932
493,0.028631,0.971775,0.008576
494,0.030217,0.970235,0.009257
495,0.031854,0.968648,0.009974
496,0.033541,0.967016,0.010726
497,0.035277,0.965338,0.011518
498,0.037063,0.963616,0.012348
499,0.038897,0.961850,0.013216
500,0.040780,0.960041,0.014124
501,0.042710,0.958190,0.015071
502,0.044687,0.956297,0.016055
503,0.046710,0.954364,0.017079
504,0.048778,0.952393,0.018145
505,0.050890,0.950383,0.019253
506,0.053046,0.948336,0.020397
507,0.055242,0.946256,0.021571
508,0.057475,0.944145,0.022799
509,0.059741,0.942008,0.024044
510,0.062036,0.939849,0.025322
511,0.064354,0.937673,0.026642
512,0.066691,0.935484,0.027984
513,0.069041,0.933289,0.029343
514,0.071398,0.931091,0.030724
515,0.073757,0.928898,0.032113
516,0.076109,0.926715,0.033534
517,0.078450,0.924548,0.034938
518,0.080771,0.922405,0.036350
519,0.083065,0.920292,0.037757
520,0.085324,0.918215,0.039144
521,0.087541,0.916181,0.040543
522,0.089708,0.914198,0.041897
523,0.091817,0.912272,0.043238
524,0.093860,0.910410,0.044525
525,0.095829,0.908620,0.045776
526,0.097716,0.906907,0.046992
527,0.099514,0.905278,0.048134
528,0.101215,0.903739,0.049247
529,0.102812,0.902297,0.050279
530,0.104298,0.900957,0.051242
531,0.104298,0.900957,0.051242
532,0.103084,0.902051,0.050462
533,0.101755,0.903251,0.049586
534,0.100315,0.904553,0.048664
535,0.098771,0.905950,0.047672
