Step,TrueNoise,ResidualNoise,ReductionRatio
573,0.005692,-0.086758,-1424.20
574,0.010361,-0.075766,-631.28
575,0.015012,-0.064798,-331.64
576,0.019712,-0.053911,-173.50
577,0.024310,-0.043384,-78.46
578,0.028929,-0.033183,-14.70
579,0.033467,-0.023510,29.75
580,0.037953,-0.014407,62.04
581,0.042369,-0.005978,85.89
582,0.046727,0.001746,96.26
583,0.050969,0.008654,83.02
584,0.055226,0.014833,73.14
585,0.059277,0.020052,66.17
586,0.063188,0.024371,61.43
587,0.066981,0.027801,58.49
588,0.070619,0.030311,57.08
589,0.074104,0.031942,56.90
590,0.077424,0.032716,57.74
591,0.080477,0.032586,59.51
592,0.083244,0.031592,62.05
593,0.085904,0.029991,65.09
594,0.088300,0.027685,68.65
595,0.090337,0.024680,72.68
596,0.092068,0.021130,77.05
597,0.093484,0.017116,81.69
598,0.094612,0.012799,86.47
599,0.095399,0.008207,91.40
600,0.095865,0.003476,96.37
601,0.096017,-0.001274,98.67
602,0.095836,-0.005952,93.79
603,0.095390,-0.010373,89.13
604,0.094511,-0.014602,84.55
605,0.093291,-0.098261,-5.33
606,0.091886,-0.152075,-65.50
607,0.163726,-0.116631,28.76
608,0.206963,-0.102097,50.67
609,0.235967,-0.097330,58.75
610,0.258282,-0.094486,63.42
611,0.276398,-0.093145,66.30
612,0.291211,-0.091783,68.48
613,0.303412,-0.089337,70.56
614,0.313637,-0.085576,72.72
615,0.322069,-0.080503,75.00
616,0.328865,-0.073850,77.54
617,0.334053,-0.066668,80.04
618,0.337706,-0.057638,82.93
619,0.340304,-0.047153,86.14
620,0.341594,-0.035348,89.65
621,0.341664,-0.021660,93.66
622,0.340741,-0.006359,98.13
623,0.338804,0.010721,96.84
624,0.335913,0.030222,91.00
625,0.331935,0.051038,84.62
626,0.327016,0.073864,77.41
627,0.321375,0.098714,69.28
628,0.314902,0.125705,60.08
629,0.307676,0.154795,49.69
630,0.299590,0.186937,37.60
631,0.290604,0.223135,23.22
632,0.280908,0.265887,5.35
633,0.270532,0.319141,-17.97
634,0.259409,0.403287,-55.46
635,0.247383,0.471596,-90.63
636,0.234697,0.471683,-100.98
637,0.221213,0.469726,-112.34
638,0.206868,0.465536,-125.04
639,0.191533,0.458895,-139.59
640,0.175204,0.449715,-156.68
641,0.157693,0.437715,-177.57
642,0.138764,0.422597,-204.54
643,0.118084,0.403991,-242.12
644,0.095064,0.381263,-301.06
645,0.068753,0.353446,-414.08
646,0.036990,0.318368,-760.68
647,-0.006988,0.269281,-3753.40
648,-0.080397,0.189011,-135.10
649,-0.081261,0.179574,-120.98
650,-0.081829,0.168756,-106.23
651,-0.082059,0.156666,-90.92
652,-0.082177,0.143171,-74.22
653,-0.081863,0.128675,-57.18
654,-0.081352,0.113030,-38.94
655,-0.080580,0.096427,-19.67
656,-0.079556,0.078975,0.73
657,-0.078341,0.060724,22.49
658,-0.076838,0.041911,45.46
659,-0.075150,0.022561,69.98
660,-0.073307,0.002789,96.20
661,-0.071205,-0.017147,75.92
662,-0.068945,-0.037207,46.03
663,-0.066401,-0.057127,13.97
664,-0.063758,-0.076936,-20.67
665,-0.061003,-0.096460,-58.12
666,-0.058231,-0.115662,-98.63
667,-0.055158,-0.134111,-143.14
668,-0.052121,-0.151997,-191.62
669,-0.049011,-0.169062,-244.95
670,-0.045707,-0.185045,-304.85
671,-0.042337,-0.199958,-372.30
672,-0.038892,-0.213661,-449.38
673,-0.035410,-0.226067,-538.43
674,-0.031929,-0.237106,-642.59
675,-0.028476,-0.246725,-766.42
676,-0.024958,-0.254751,-920.73
677,-0.021495,-0.261232,-1115.30
678,-0.017923,-0.265958,-1383.91
679,-0.014257,-0.268897,-1786.03
680,-0.010619,-0.270142,-2443.87
681,-0.007138,-0.269821,-3679.82
682,-0.003629,-0.279825,-7611.71
683,-0.000076,-0.405531,-536551.58
684,0.003391,-0.456078,-13349.93
685,0.007006,-0.488985,-6879.54
686,0.010495,-0.512411,-4782.29
687,0.014052,-0.528923,-3663.96
688,0.017545,-0.540793,-2982.33
689,0.021080,-0.547018,-2494.99
690,0.024632,-0.548062,-2124.99
691,0.028072,-0.546339,-1846.18
692,0.031522,-0.539922,-1612.87
693,0.034956,-0.530872,-1418.68
694,0.038292,-0.518186,-1253.25
695,0.041668,-0.502473,-1105.89
696,0.045037,-0.484011,-974.70
697,0.048399,-0.461989,-854.55
698,0.051587,-0.437312,-747.71
699,0.054869,-0.409393,-646.13
700,0.058057,-0.379352,-553.42
701,0.061191,-0.346546,-466.33
702,0.064147,-0.311662,-385.85
703,0.067202,-0.273811,-307.44
704,0.070208,-0.234793,-234.42
705,0.073078,-0.193558,-164.87
706,0.075848,-0.149273,-96.81
707,0.078490,-0.102587,-30.70
708,0.081097,-0.051491,36.51
709,0.083533,0.004688,94.39
710,0.085947,0.076553,10.93
711,0.088146,0.165813,-88.11
712,0.090254,0.174222,-93.03
713,0.092164,0.180916,-96.30
714,0.093854,0.185796,-97.96
715,0.095554,0.189060,-97.86
716,0.096918,0.190181,-96.23
717,0.184956,0.276384,-49.43
718,0.231430,0.319393,-38.01
719,0.265945,0.348940,-31.21
720,0.294553,0.370988,-25.95
721,0.319527,0.388099,-21.46
722,0.341874,0.401067,-17.31
723,0.362062,0.410663,-13.42
724,0.380503,0.417288,-9.67
725,0.397467,0.421449,-6.03
726,0.413000,0.423314,-2.50
727,0.427398,0.423281,0.96
728,0.440591,0.421350,4.37
729,0.452871,0.417866,7.73
